Table 1: Multidimensional Poverty Index: developing countries ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,SDG 1.2,,,,,,,,,,,,,,,,,,,,SGD 1.2,,SGD 1.1,
Burkina Faso,2021 D,,0.343,,64.5,,"14,181",,"14,513",,53.2,,0.022,,38.3,,15.8,,19.6,,39.2,,41.1,,43.2,,25.3,
Cambodia,2021/2022 D,,0.070,,16.6,,"2,863",,"2,863",,42.3,,0.009,,4.1,,20.5,,21.5,,48.0,,30.5,,17.7,,..,
Cameroon,2018 D,,0.232,,43.6,,"10,814",,"12,046",,53.2,,0.026,,24.6,,17.6,,25.2,,27.6,,47.1,,37.5,,23.0,
Central African Republic,2018/2019 M,,0.461,,80.4,,"3,976",,"4,100",,57.4,,0.025,,55.8,,12.9,,20.2,,27.8,,52.0,,68.8,,65.7,
Chad,2019 M,,0.517,,84.2,,"14,045",,"15,535",,61.4,,0.024,,64.6,,10.7,,19.1,,36.6,,44.3,,42.3,,30.8,
Comoros,2022 M,,0.084,,19.2,,160,,160,,43.9,,0.013,,5.7,,19.4,,22.7,,34.4,,42.9,,42.4,,18.6,
Congo (Democratic Republic of the),2017/2018 M,,0.331,,64.5,,"58,097",,"66,064",,51.3,,0.020,,36.8,,17.4,,23.1,,19.9,,57.0,,63.9,,78.9,
Costa Rica,2018 M,,0.002,"c,g",0.5,"c,g",27,"c,g",27,"c,g",37.1,"c,g",..,e,0.0,"c,g",2.4,"c,g",40.5,"c,g",41.0,"c,g",18.5,"c,g",25.5,,0.9,
Côte d'Ivoire,2021 D,,0.210,,42.8,,"12,678",,"13,001",,49.1,,0.018,,19.7,,19.6,,21.3,,42.1,,36.6,,37.5,,9.7,
Cuba,2019 M,,0.003,g,0.7,g,79,g,78,g,38.1,g,..,e,0.1,g,2.7,g,10.1,g,39.8,g,50.1,g,..,,..,
Dominican Republic,2019 M,,0.009,,2.3,,247,,255,,38.8,,0.006,,0.2,,4.8,,14.6,,46.2,,39.2,,23.9,,0.8,
Ecuador,2018 N,,0.008,,2.1,,357,,373,,38.0,,0.004,,0.1,,5.9,,33.9,,27.3,,38.8,,25.2,,3.2,
Eswatini (Kingdom of),2021/2022 M,,0.033,c,7.9,c,96,c,96,c,41.3,c,0.008,c,1.3,c,19.0,c,31.1,c,28.6,c,40.3,c,58.9,,36.1,
Ethiopia,2019 D,,0.367,,68.7,,"79,554",,"86,185",,53.3,,0.022,,41.9,,18.4,,14.0,,31.5,,54.5,,23.5,,27.0,
Fiji,2021 M,,0.006,,1.5,,14,,14,,38.1,,..,e,0.2,,7.4,,38.0,,17.4,,44.6,,24.1,,1.3,
Gabon,2019/2021 D,,0.037,,8.6,,206,,210,,42.4,,0.010,,2.3,,14.9,,34.6,,24.4,,41.0,,33.4,,2.5,
Gambia,2019/2020 D,,0.198,,41.7,,"1,049",,"1,100",,47.5,,0.016,,17.3,,28.0,,32.7,,33.0,,34.3,,53.4,,17.2,
Georgia,2018 M,,0.001,g,0.3,g,13,g,13,g,36.6,g,..,e,0.0,g,2.1,g,47.1,g,23.8,g,29.1,g,15.6,,5.5,
Ghana,2022 D,,0.113,,24.8,,"8,221",,"8,221",,45.5,,0.016,,8.4,,20.0,,25.1,,28.9,,46.0,,23.4,,25.2,
Guinea,2018 D,,0.373,,66.2,,"8,412",,"9,306",,56.4,,0.025,,43.5,,16.4,,21.4,,38.4,,40.3,,43.7,,13.8,
Guinea-Bissau,2018/2019 M,,0.341,,64.4,,"1,267",,"1,356",,52.9,,0.021,,35.9,,20.0,,19.1,,35.0,,45.8,,47.7,,26.0,
Guyana,2019/2020 M,,0.007,p,1.8,p,15,p,15,p,39.3,p,0.007,p,0.2,p,6.5,p,30.4,p,22.4,p,47.2,p,..,,..,
Honduras,2019 M,,0.051,,12.0,,"1,191",,"1,253",,42.7,,0.011,,3.0,,14.8,,18.8,,39.2,,42.0,,48.0,,12.7,
India,2019/2021 D,,0.069,,16.4,,"231,828",,"233,667",,42.0,,0.010,,4.2,,18.7,,32.2,,28.2,,39.7,,..,,12.9,
Iraq,2018 M,,0.033,,8.6,,"3,477",,"3,806",,37.9,,0.005,,1.3,,5.2,,33.1,,60.9,,6.0,,18.9,,0.1,
Jamaica,2018 N,,0.011,i,2.8,i,78,i,79,i,38.9,i,0.005,i,0.2,i,5.0,i,52.2,i,20.9,i,26.9,i,19.9,,0.3,
Jordan,2017/2018 D,,0.002,,0.4,,45,,49,,35.4,,..,e,0.0,,0.7,,37.5,,53.5,,9.0,,15.7,,..,
Kenya,2022 D,,0.113,,25.4,,"13,754",,"13,754",,44.7,,0.015,,7.5,,26.4,,25.6,,15.6,,58.8,,36.1,,36.1,
Kiribati,2018/2019 M,,0.080,,19.8,,25,,26,,40.5,,0.006,,3.5,,30.2,,30.3,,12.1,,57.6,,21.9,,1.7,
Kyrgyzstan,2018 M,,0.001,,0.4,,25,,27,,36.3,,..,e,0.0,,5.2,,64.6,,17.9,,17.5,,33.3,,0.7,
Lesotho,2018 M,,0.084,c,19.6,c,428,c,448,c,43.0,c,0.009,c,5.0,c,28.6,c,21.9,c,18.1,c,60.0,c,49.7,,32.4,
Liberia,2019/2020 D,,0.259,,52.3,,"2,694",,"2,811",,49.6,,0.018,,24.9,,23.3,,19.7,,28.6,,51.7,,50.9,,27.6,
Madagascar,2021 D,,0.386,,68.4,,"20,314",,"20,825",,56.4,,0.026,,45.8,,15.4,,17.8,,31.6,,50.6,,70.7,,80.7,
Malawi,2019/2020 M,,0.231,,49.9,,"9,744",,"10,260",,46.3,,0.012,,17.5,,27.5,,18.6,,25.5,,55.9,,50.7,,70.1,
Mali,2018 D,,0.376,,68.3,,"13,968",,"15,766",,55.0,,0.022,,44.7,,15.3,,19.6,,41.2,,39.3,,44.6,,20.8,
Mauritania,2019/2021 D,,0.327,,58.4,,"2,767",,"2,850",,56.0,,0.024,,38.0,,12.3,,17.7,,42.4,,39.9,,31.8,,5.4,
Mexico,2022 N,,0.020,"q,r",5.0,"q,r","6,434","q,r","6,434","q,r",39.8,"q,r",0.006,"q,r",0.9,"q,r",3.1,"q,r",62.7,"q,r",12.8,"q,r",24.4,"q,r",36.3,,1.2,
Mongolia,2018 M,,0.028,s,7.3,s,230,s,246,s,38.8,s,0.004,s,0.8,s,15.5,s,21.1,s,26.8,s,52.1,s,27.8,,0.2,
Montenegro,2018 M,,0.005,,1.2,,8,,8,,39.6,,..,e,0.1,,2.9,,58.5,,22.3,,19.2,,20.3,,2.0,
Morocco,2017/2018 P,,0.027,t,6.4,t,"2,279",t,"2,374",t,42.0,t,0.012,t,1.4,t,10.9,t,24.4,t,46.8,t,28.8,t,4.8,,1.4,
Mozambique,2022/2023 D,,0.334,,60.7,,"20,407",,"19,813",,55.1,,0.022,,38.8,,16.9,,17.3,,33.2,,49.5,,46.1,,74.5,
Nepal,2022 D,,0.085,,20.1,,"5,963",,"5,963",,42.5,,0.011,,5.5,,20.2,,28.8,,30.6,,40.6,,..,,..,
Nigeria,2021 M,,0.175,"j,u",33.0,"j,u","72,211","j,u","73,738","j,u",52.9,"j,u",0.027,"j,u",18.1,"j,u",16.6,"j,u",19.5,"j,u",35.5,"j,u",45.0,"j,u",40.1,,30.9,
North Macedonia,2018/2019 M,,0.001,,0.4,,7,,7,,38.2,,..,e,0.1,,2.2,,29.6,,52.6,,17.8,,21.8,,2.7,
Pakistan,2017/2018 D,,0.198,,38.3,,"86,987",,"93,416",,51.7,,0.023,,21.5,,12.9,,27.6,,41.3,,31.1,,21.9,,4.9,
"Palestine, State of",2019/2020 M,,0.002,,0.6,,29,,30,,35.0,,..,e,0.0,,1.3,,62.9,,31.0,,6.1,,29.2,,0.5,
Papua New Guinea,2016/2018 D,,0.263,j,56.6,j,"5,320",j,"5,778",j,46.5,j,0.016,j,25.8,j,25.3,j,4.6,j,30.1,j,65.3,j,..,,..,
Peru,2022 N,,0.025,,6.4,,"2,136",,"2,136",,38.9,,0.006,,0.9,,10.0,,15.5,,32.7,,51.9,,27.5,,2.7,
Philippines,2022 D,,0.016,j,3.9,j,"4,429",j,"4,429",j,40.6,j,0.008,j,0.7,j,5.2,j,24.6,j,32.7,j,42.7,j,18.1,,3.0,
Rwanda,2019/2020 D,,0.231,,48.8,,"6,379",,"6,665",,47.3,,0.014,,19.7,,22.7,,19.0,,26.6,,54.4,,38.2,,52.0,
Samoa,2019/2020 M,,0.025,,6.3,,13,,14,,39.1,,0.003,,0.5,,12.9,,36.9,,31.2,,31.9,,21.9,,1.2,
Sao Tome and Principe,2019 M,,0.048,,11.7,,25,,27,,40.9,,0.007,,2.1,,17.0,,18.7,,36.6,,44.6,,55.5,,15.7,
Senegal,2019 D,,0.263,,50.8,,"8,313",,"8,972",,51.7,,0.019,,27.7,,18.2,,20.7,,48.4,,30.9,,..,,9.9,
Serbia,2019 M,,0.000,"g,v",0.1,"g,v",8,"g,v",8,"g,v",38.1,"g,v",..,e,0.0,"g,v",2.1,"g,v",30.9,"g,v",40.1,"g,v",29.0,"g,v",20.0,,1.2,
Seychelles,2019 N,,0.003,"c,w",0.9,"c,w",1,"c,w",1,"c,w",34.2,"c,w",..,e,0.0,"c,w",0.4,"c,w",66.8,"c,w",32.1,"c,w",1.1,"c,w",25.3,,0.5,
Sierra Leone,2019 D,,0.293,,59.2,,"4,579",,"4,902",,49.5,,0.019,,28.0,,21.3,,23.0,,24.1,,53.0,,56.8,,26.1,
Suriname,2018 M,,0.011,,2.9,,17,,18,,39.4,,0.007,,0.4,,4.0,,20.4,,43.8,,35.8,,..,,1.1,
Tanzania (United Republic of),2022 D,,0.221,,47.2,,"30,554",,"30,554",,46.9,,0.014,,18.3,,23.1,,24.2,,22.6,,53.2,,26.4,,44.9,
Thailand,2022 M,,0.002,g,0.5,g,352,g,352,g,37.0,g,0.003,g,0.0,g,4.7,g,31.2,g,54.0,g,14.7,g,6.3,,0.0,
Tonga,2019 M,,0.003,,0.9,,1,,1,,38.1,,..,e,0.0,,6.4,,38.2,,40.7,,21.1,,20.6,,0.0,
Trinidad and Tobago,2022 M,,0.002,j,0.5,j,8,j,8,j,38.8,j,0.005,j,0.1,j,0.8,j,64.2,j,23.7,j,12.1,j,..,,..,
Tunisia,2023 M,,0.003,,1.0,,119,,118,,35.2,,0.002,,0.0,,2.8,,28.1,,61.8,,10.1,,16.6,,0.3,
Turkmenistan,2019 M,,0.001,c,0.2,c,17,c,18,c,34.0,c,..,e,0.0,c,0.3,c,82.4,c,15.5,c,2.1,c,..,,..,
Tuvalu,2019/2020 M,,0.008,,2.1,,0,,0,,38.2,,0.002,,0.0,,12.2,,36.5,,43.6,,20.0,,..,,..,
Uzbekistan,2021/2022 M,,0.006,"j,x",1.7,"j,x",604,"j,x",604,"j,x",35.3,"j,x",0.001,"j,x",0.0,"j,x",0.2,"j,x",94.5,"j,x",0.0,"j,x",5.5,"j,x",14.1,,2.3,
Viet Nam,2020/2021 M,,0.008,j,1.9,j,"1,899",j,"1,913",j,40.3,j,0.010,j,0.4,j,3.5,j,22.9,j,40.7,j,36.4,j,4.3,,1.0,
Yemen,2022/2023 M,,0.188,o,37.4,o,"14,740",o,"14,303",o,50.2,o,0.019,o,17.0,o,22.5,o,28.4,o,31.7,o,39.9,o,48.6,,19.8,
Zambia,2018 D,,0.232,,47.9,,"8,610",,"9,654",,48.4,,0.015,,21.0,,23.9,,21.5,,25.0,,53.5,,60.0,,64.3,
Zimbabwe,2019 M,,0.110,,25.8,,"3,940",,"4,146",,42.6,,0.009,,6.8,,26.3,,23.6,,17.3,,59.2,,38.3,,39.8,
Estimates based on surveys for 2012-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,2015/2016 D,,0.282,,51.1,,"14,914",,"18,211",,55.3,,0.024,,32.5,,15.5,,21.2,,32.1,,46.8,,32.3,,31.1,
Armenia,2015/2016 D,,0.001,h,0.2,h,6,h,5,h,36.2,h,..,e,0.0,h,2.8,h,33.1,h,36.8,h,30.1,h,24.8,,0.8,
Barbados,2012 M,,0.009,i,2.5,i,7,i,7,i,34.2,i,..,e,0.0,i,0.5,i,96.0,i,0.7,i,3.3,i,..,,..,
Belize,2015/2016 M,,0.017,,4.3,,16,,17,,39.8,,0.007,,0.6,,8.4,,39.5,,20.9,,39.6,,..,,..,
Bolivia (Plurinational State of),2016 N,,0.038,,9.1,,"1,013",,"1,094",,41.7,,0.008,,1.9,,12.1,,18.7,,31.5,,49.8,,36.4,,2.0,
Bosnia and Herzegovina,2011/2012 M,,0.008,i,2.2,i,80,i,70,i,37.9,i,0.002,i,0.1,i,4.1,i,79.7,i,7.2,i,13.1,i,16.9,,..,
Botswana,2015/2016 N,,0.073,k,17.2,k,385,k,420,k,42.2,k,0.008,k,3.5,k,19.7,k,30.3,k,16.5,k,53.2,k,16.1,,15.4,
Brazil,2015 N,l,0.016,"g,j,l",3.8,"g,j,l","7,748","g,j,l","8,080","g,j,l",42.5,"g,j,l",0.008,"g,j,l",0.9,"g,j,l",6.2,"g,j,l",49.8,"g,j,l",22.9,"g,j,l",27.3,"g,j,l",..,,3.5,
Burundi,2016/2017 D,,0.409,h,75.1,h,"8,641",h,"10,004",h,54.4,h,0.022,h,46.1,h,15.8,h,23.8,h,27.2,h,49.0,h,64.9,,62.1,
China,2014 N,m,0.016,"n,o",3.9,"n,o","53,922","n,o","55,369","n,o",41.4,"n,o",0.005,"n,o",0.3,"n,o",17.4,"n,o",35.2,"n,o",39.2,"n,o",25.6,"n,o",0.0,,0.1,
Colombia,2015/2016 D,,0.020,j,4.8,j,"2,299",j,"2,507",j,40.6,j,0.009,j,0.8,j,6.2,j,12.0,j,39.5,j,48.5,j,36.6,,6.0,
Congo,2014/2015 M,,0.112,,24.3,,"1,237",,"1,465",,46.0,,0.013,,9.4,,21.3,,23.4,,20.2,,56.4,,..,,..,
Egypt,2014 D,,0.020,"c,h",5.2,"c,h","5,109","c,h","5,900","c,h",37.6,"c,h",0.004,"c,h",0.6,"c,h",6.1,"c,h",40.0,"c,h",53.1,"c,h",6.9,"c,h",29.7,,1.5,
El Salvador,2014 M,,0.032,,7.9,,484,,494,,41.3,,0.009,,1.7,,9.9,,15.5,,43.4,,41.1,,26.6,,3.4,
Guatemala,2014/2015 D,,0.134,,28.9,,"4,613",,"5,155",,46.2,,0.013,,11.2,,21.1,,26.3,,35.0,,38.7,,59.3,,9.5,
Haiti,2016/2017 D,,0.200,,41.3,,"4,464",,"4,747",,48.4,,0.019,,18.5,,21.8,,18.5,,24.6,,57.0,,58.5,,29.2,
Indonesia,2017 D,,0.014,j,3.6,j,"9,675",j,"10,091",j,38.7,j,0.006,j,0.4,j,4.7,j,34.7,j,26.8,j,38.5,j,9.4,,1.9,
Kazakhstan,2015 M,,0.002,"g,h",0.5,"g,h",82,"g,h",91,"g,h",35.6,"g,h",..,e,0.0,"g,h",1.8,"g,h",90.4,"g,h",3.1,"g,h",6.4,"g,h",5.2,,0.0,
Lao People's Democratic Republic,2017 M,,0.108,,23.1,,"1,619",,"1,744",,47.0,,0.016,,9.6,,21.2,,21.5,,39.7,,38.8,,18.3,,7.1,
Libya,2014 P,,0.007,,2.0,,128,,144,,37.1,,0.003,,0.1,,11.4,,39.0,,48.6,,12.4,,..,,..,
Maldives,2016/2017 D,,0.003,,0.8,,4,,4,,34.4,,..,e,0.0,,4.8,,80.7,,15.1,,4.2,,5.4,,0.0,
Moldova (Republic of),2012 M,,0.004,,0.9,,33,,29,,37.4,,..,e,0.1,,3.7,,9.2,,42.4,,48.4,,31.1,,0.0,
Myanmar,2015/2016 D,,0.176,,38.3,,"19,731",,"20,597",,45.9,,0.015,,13.8,,21.9,,18.5,,32.3,,49.2,,24.8,,2.0,
Namibia,2013 D,,0.185,h,40.9,h,921,h,"1,181",h,45.2,h,0.013,h,13.1,h,19.2,h,31.6,h,13.9,h,54.4,h,17.4,,15.6,
Nicaragua,2011/2012 D,,0.074,h,16.5,h,971,h,"1,108",h,45.3,h,0.013,h,5.6,h,13.4,h,11.5,h,36.2,h,52.3,h,24.9,,3.9,
Niger,2012 D,,0.601,h,91.0,h,"16,226",h,"23,027",h,66.1,h,0.026,h,76.3,h,4.9,h,21.4,h,36.7,h,41.8,h,40.8,,50.6,
Paraguay,2016 M,,0.019,,4.5,,281,,304,,41.9,,0.013,,1.0,,7.2,,14.3,,38.9,,46.8,,24.7,,1.3,
Saint Lucia,2012 M,,0.007,i,1.9,i,3,i,3,i,37.5,i,..,e,0.0,i,1.6,i,69.5,i,7.5,i,23.0,i,0.3,,0.1,
South Africa,2016 D,,0.025,,6.3,,"3,583",,"3,903",,39.8,,0.005,,0.9,,12.2,,39.5,,13.1,,47.4,,55.5,,20.5,
Sri Lanka,2016 N,,0.011,,2.9,,640,,667,,38.3,,0.004,,0.3,,14.3,,32.5,,24.4,,43.0,,14.3,,1.0,
Sudan,2014 M,,0.279,,52.3,,"20,315",,"25,841",,53.4,,0.023,,30.9,,17.7,,21.1,,29.2,,49.8,,..,,15.3,
Tajikistan,2017 D,,0.029,,7.4,,676,,758,,39.0,,0.004,,0.7,,20.1,,47.8,,26.5,,25.8,,22.5,,6.1,
Timor-Leste,2016 D,,0.222,h,48.3,h,593,h,661,h,45.9,h,0.014,h,17.4,h,26.8,h,29.3,h,23.1,h,47.6,h,41.8,,24.4,
Togo,2017 M,,0.180,,37.6,,"3,030",,"3,419",,47.8,,0.016,,15.2,,23.8,,20.9,,28.1,,50.9,,45.5,,26.6,
Uganda,2016 D,,0.281,h,57.2,h,"22,181",h,"27,048",h,49.2,h,0.017,h,25.7,h,23.6,h,24.0,h,21.6,h,54.5,h,20.3,,42.1,
Ukraine,2012 M,,0.001,"h,j",0.2,"h,j",113,"h,j",100,"h,j",34.4,"h,j",..,e,0.0,"h,j",0.4,"h,j",60.5,"h,j",28.4,"h,j",11.2,"h,j",1.6,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developing countries,—,,0.089,,18.3,,"1,085,191",,"1,148,746",,48.5,,0.017,,8.0,,14.8,,24.3,,32.0,,43.6,,19.4,,11.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab States,—,,0.072,,14.7,,"46,840",,"53,193",,48.9,,0.018,,6.5,,9.2,,25.7,,34.6,,39.7,,25.9,,5.8,
East Asia and the Pacific,—,,0.021,,5.0,,"100,687",,"104,097",,42.4,,0.008,,0.9,,14.2,,28.4,,36.0,,35.7,,3.6,,0.6,
Europe and Central Asia,—,,0.004,,1.2,,"1,692",,"1,758",,37.1,,0.003,,0.1,,2.6,,66.7,,16.5,,16.8,,12.0,,1.4,
Latin America and the Caribbean,—,,0.025,,5.8,,"32,683",,"34,389",,42.9,,0.010,,1.5,,6.4,,34.3,,27.0,,38.7,,36.2,,3.6,
South Asia,—,,0.094,,20.8,,"393,030",,"401,859",,45.2,,0.014,,7.3,,17.9,,28.8,,33.8,,37.4,,23.1,,11.0,
Sub-Saharan Africa,—,,0.254,,48.4,,"510,259",,"553,451",,52.5,,0.021,,26.9,,18.2,,20.2,,30.4,,49.3,,40.9,,38.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a. Not all indicators were available for all countries, so caution should be used in cross-country comparisons. When an indicator is missing, weights of available indicators are adjusted to 100 percent. See Technical Note at https://hdr.undp.org/system/files/documents/mpi2024technicalnotes.pdf and OPHI Methodological Note 58 at https://ophi.org.uk/publications/MN-58 for details. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b. D indicates data from Demographic and Health Surveys, M indicates data from Multiple Indicator Cluster Surveys, N indicates data from national surveys and P indicates data from Pan Arab Population and Family Health Surveys (see  https://hdr.undp.org/mpi-2024-faqs and OPHI Methodological Note 58 at https://ophi.org.uk/publications/MN-58 for the list of national surveys). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c. Missing indicator on cooking fuel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d. Data refer to the most recent year available during the period specified.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e. Value is not reported because it is based on a small number of multidimensionally poor people.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f. Urban areas only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g. Considers child deaths that occurred at any time because the survey did not collect the date of child deaths.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h. Revised estimate from the 2020 MPI.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i. Missing indicator on child mortality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j. Missing indicator on nutrition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k. Captures only deaths of children under age 5 who died in the last five years and deaths of children ages 12–18 years who died in the last two years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l. The methodology was adjusted to account for missing indicator on nutrition and incomplete indicator on child mortality (the survey did not collect the date of child deaths).,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m. Based on the version of data accessed on 7 June 2016.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"n. Given the information available in the data, child mortality was constructed based on deaths that occurred between surveys- that is, between 2012 and 2014. Child deaths reported by an adult man in the household were taken into account because the date of death was reported.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
o. Missing indicator on housing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p. Revised estimate from the 2022 MPI based on the survey microdata update.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q. Child mortality data were not used because the data were collected from a sample of women ages 15-49 that was not representative of the female population in that age group.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r. Anthropometric data were collected from all children under age 5 and from selected individuals who are age 5 or older. Construction of the nutrition indicator was restricted to children under age 5 since the anthropometric sample is representative of the under 5 population.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s. Indicator on sanitation follows the national classification in which pit latrine with slab is considered unimproved.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"t. Following the national report, latrines are considered an improved source for the sanitation indicator.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"u. The analytical sample was restricted to the Multiple Indicator Cluster Survey sample, and its sample weight was used, because child mortality information was not collected for the National Immunization coverage Survey sample.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"v. Because of the high proportion of children excluded from nutrition indicators due to measurements not being taken, estimates based on the 2019 Serbia Multiple Indicator Cluster Survey should be interpreted with caution. The unweighted sample size used for the multidimensional poverty calculation is 82.8 percent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
w. Missing indicator on school attendance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x. The analytical sample was restricted to the round 2 sample because standard of living questions were not collected for the round 1 sample.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multidimensional Poverty Index: Proportion of the population that is multidimensionally poor adjusted by the intensity of the deprivations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Multidimensional poverty headcount: Population with a deprivation score of at least 33.3 percent. It is expressed as a share of the population in the survey year, the number of multidimensionally poor people in the survey year and the projected number of multidimensionally poor people in 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intensity of deprivation of multidimensional poverty: Average deprivation score experienced by people in multidimensional poverty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Inequality among the poor: Variance of individual deprivation scores of poor people. It is calculated by subtracting the deprivation score of each multidimensionally poor person from the intensity, squaring the differences and dividing the sum of the weighted squares by the number of multidimensionally poor people.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Population in severe multidimensional poverty: Percentage of the population in severe multidimensional poverty—that is, those with a deprivation score of 50 percent or more.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Population vulnerable to multidimensional poverty: Percentage of the population at risk of suffering multiple deprivations—that is, those with a deprivation score of 20–33.3 percent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contribution of deprivation in dimension to overall multidimensional poverty: Percentage of the Multidimensional Poverty Index attributed to deprivations in each dimension.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Population living below national poverty line: Percentage of the population living below the national poverty line, which is the poverty line deemed appropriate for a country by its authorities. National estimates are based on population-weighted subgroup estimates from household surveys.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population living below PPP $2.15 a day: Percentage of the population living below the international poverty line of $2.15 (in 2017 purchasing power parity [PPP] terms) a day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main data sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column 1: Refers to the year and the survey whose data were used to calculate the country’s Multidimensional Poverty Index value and its components.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columns 2-12: HDRO and OPHI calculations based on data on household deprivations in health, education, and standard of living from various surveys listed in column 1 using the methodology described in Technical Note (https://hdr.undp.org/system/files/documents/mpi2024technicalnotes.pdf) and OPHI Methodological Note 58 at https://ophi.org.uk/publications/MN-58. Column 4 and 5 also uses population data from the United Nations Department of Economic and Social Affairs. 2024. World Population Prospects: The 2024 Revision. New York. https://population.un.org/wpp/. Accessed 14 June 2024 (embargo data).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columns 13 and 14: World Bank. (2024). World Development Indicators database. Washington, DC.  http://data.worldbank.org./ Accessed 30 May 2024.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
